county,state,all_residential,sf_residential,multi_residential,percent_residential,percent_multi,commute_time_in_mins,percentage_car,percentage_public,percentage_walk,percentage_wfh,percentage_occupancy,percentage_vacant,owner_below_poverty,renter_below_poverty,crime_rate,unemployment,nationalParkCount,stateParkCovergae,costOfLiving,mentalHealth
denver,colorado,211215,133804,77411,0.63349667,0.36650333,43.1,0.6235,0.0435,0.0363,0.2715,0.9198,0.0801,0.027,0.17,42.0,0.0319,4,0.0069,91534.85,5.2
jefferson,colorado,15781,14855,926,0.9413218427222609,0.058678157277739056,46.6,0.7067,0.0151,0.0125,0.2493,0.8823775100401606,0.11762248995983936,0.019,0.115,35.0,0.0286,4,0.0069,96123.15,4.7
weld,colorado,117564,97971,19593,0.83334184,0.16665816,37.3,0.8203,0.0052,0.0097,0.1468,0.9502,0.0497,0.036,0.154,19.0,0.0334,4,0.0069,85381.9,4.7
dallas,texas,633113,539515,93598,0.85216225,0.14783775,46.3,0.7975,0.0126,0.0169,0.2317,0.9296,0.0703,0.061,0.19,36.0,0.0385,2,0.0052,72227.78,5.3
detroit,michigan,227204,197912,29292,0.87107621,0.12892379,52.3,0.7642,0.0458,0.032,0.1149,0.8204,0.1795,0.182,0.438,42.0,0.0486,1,0.009,70843.33,0
houston,texas,1208766,1138210,70556,0.94162973,0.05837027,44.2,0.7835,0.0299,0.0165,0.1248,0.8981,0.1018,0.08,0.28,41.0,0.0441,2,0.0052,68223.99,5.2
placer,california,138991,125824,13167,0.90526725,0.09473275,55.9,0.7354,0.0066,0.0201,0.2219,0.8824,0.1175,0.033,0.063,19.0,0.0316,9,0.0606,102424.41,4.8
adams,ohio,2551,2399,152,0.9404155233241865,0.05958447667581341,0.0,0.0,0.0,0.0,0.0,0.8618027103687362,0.1381972896312638,0.0,0.0,11.0,0.056799999999999996,1,0.0011,60510.05,5.8
allen,ohio,26626,24035,2591,0.9026891008788402,0.09731089912115977,0.0,0.9277003484320557,0.010389224101300247,0.009751848389564034,0.04858927509135719,0.9185871687274196,0.0814128312725804,4.2,15.8,40.0,0.0441,1,0.0011,63075.41,5.4
ashland,ohio,9661,8279,1382,0.8569506262291688,0.14304937377083118,0.0,0.0,0.0,0.0,0.0,0.9211873080859775,0.07881269191402251,0.0,0.0,14.0,0.04,1,0.0011,61668.48,5.6
ashtabula,ohio,19427,17700,1727,0.9111031039275236,0.08889689607247644,9.8,0.893741460725329,0.0023730194875236704,0.010259114552122535,0.04362520674033414,0.8505958431559141,0.1494041568440859,6.5,40.3,8.0,0.0461,1,0.0011,61441.97,6.5
athens,ohio,8082,6812,1270,0.8428606780499877,0.15713932195001237,0.0,0.0,0.0,0.0,0.0,0.8980519972712803,0.10194800272871977,0.0,0.0,24.0,0.0504,1,0.0011,64828.28,6.2
auglaize,ohio,11182,10347,835,0.9253264174566267,0.07467358254337328,0.0,0.0,0.0,0.0,0.0,0.9360438786292961,0.06395612137070397,0.0,0.0,10.0,0.0319,1,0.0011,62889.56,5.1
belmont,ohio,16595,15358,1237,0.9254594757457065,0.07454052425429346,0.0,0.0,0.0,0.0,0.0,0.8644759314314631,0.1355240685685369,5.4,42.3,11.0,0.054299999999999994,1,0.0011,63776.8,5.3
